Player,Position,Team(s),Date_of_Birth,Height,Weight,College,Years_Played
Joe Andreessen,LB,BUF,2/7/2000,72,232,Buffalo,2
Keonta Jenkins,LB,BUF,1/26/2002,74,211,Virginia Tech,0
Matt Milano,LB,BUF,7/28/1994,72,223,Boston College,9
Michael Hoecht,LB,BUF,10/5/1997,76,267,Brown,5
Shaq Thompson,LB,BUF,4/21/1994,72,230,Washington,11
Terrel Bernard,LB,BUF,5/7/1999,73,224,Baylor,4
Reid Ferguson,LS,BUF,3/24/1994,74,235,LSU,9
Alec Anderson,OL,BUF,10/3/1999,77,305,UCLA,3
Chase Lundt,OL,BUF,6/16/2000,79,304,Connecticut,0
Connor McGovern,OL,BUF,11/3/1997,78,318,Penn State,7
David Edwards,OL,BUF,3/20/1997,78,308,Wisconsin,7
Dion Dawkins,OL,BUF,4/26/1994,77,320,Temple,9
Mike Edwards,OL,BUF,11/10/1998,77,363,Campbell University; Wake Forest,0
O'Cyrus Torrence,OL,BUF,1/20/2000,77,347,Florida; Louisiana-Lafayette,3
Richard Gouraige,OL,BUF,10/15/1998,77,306,Florida,1
Rush Reimer,OL,BUF,,,,,
Ryan Van Demark,OL,BUF,3/22/1998,78,307,Connecticut,3
Sedrick Van Pran-Granger,OL,BUF,10/23/2001,76,310,Georgia,2
Spencer Brown,OL,BUF,2/28/1998,80,311,Northern Iowa,5
Travis Clayton,OL,BUF,2/17/2001,79,301,,2
Tylan Grable,OL,BUF,10/4/1999,77,313,UCF; Jacksonville State,2
Josh Allen,QB,BUF,5/21/1996,77,237,Wyoming; Reedley,8
Mitchell Trubisky,QB,BUF,8/20/1994,74,222,North Carolina,9
Darrynton Evans,RB,BUF,7/9/1998,70,203,Appalachian State,5
Elijah Young,RB,BUF,,,,,
Frank Gore Jr.,RB,BUF,3/13/2002,68,201,Southern Mississippi,1
James Cook,RB,BUF,9/25/1999,71,190,Georgia,4
Jarveon Howard,RB,BUF,,,,,
Ray Davis,RB,BUF,11/20/1999,68,220,Kentucky; Vanderbilt; Temple,2
Reggie Gilliam,RB,BUF,8/20/1997,72,244,Toledo,6
Ty Johnson,RB,BUF,9/17/1997,70,210,Maryland,7
Dalton Kincaid,TE,BUF,10/18/1999,75,240,Utah; Univ of California-San Diego,3
Dawson Knox,TE,BUF,11/14/1996,76,254,Mississippi,7
Jackson Hawes,TE,BUF,12/6/2000,76,253,Georgia Tech; Yale,0
Keleki Latu,TE,BUF,8/13/2002,78,249,Washington; Nevada,0
Curtis Samuel,WR,BUF,8/11/1996,71,195,Ohio State,9
David White,WR,BUF,7/18/2000,76,200,Western Carolina; Valdosta State,0
Deon Cain,WR,BUF,8/9/1996,74,202,Clemson,3
Gabe Davis,WR,BUF,3/1/1999,74,225,UCF,6
Grant DuBose,WR,BUF,6/20/2001,74,201,Charlotte; Miles College,1
Josh Palmer,WR,BUF,9/22/1999,73,210,Tennessee,5
KJ Hamler,WR,BUF,7/8/1999,69,178,Penn State,4
Kaden Prather,WR,BUF,,,,,
Keon Coleman,WR,BUF,5/17/2003,76,215,Florida State; Michigan State,2
Khalil Shakir,WR,BUF,2/3/2000,72,190,Boise State,4
Laviska Shenault Jr.,WR,BUF,10/5/1998,73,224,Colorado,5
Stephen Gosnell,WR,BUF,10/22/2001,73,198,Virginia Tech; North Carolina,0
Tyrell Shavers,WR,BUF,8/18/1999,76,211,San Diego State; Mississippi State; Alabama,1
Mike White,QB,"BUF, CAR, CIN",3/25/1995,77,216,Western Kentucky; University of South Florida,7
Tommy Akingbesote,DL,"BUF, CAR, DAL",2/25/2003,76,316,Maryland,0
Matthew Wright,K,"BUF, CAR, HOU, TEN, WAS",3/22/1996,71,174,UCF,4
Jalen Kimber,DB,"BUF, CIN",2/13/2001,72,184,Penn State; Florida,0
Jacob Bayer,OL,"BUF, CIN",12/12/2002,75,310,Arkansas State; Lamar,0
Kendrick Green,OL,"BUF, CLE",12/22/1998,75,310,Illinois,5
Nick Broeker,OL,"BUF, DAL, KC",10/7/2000,76,305,Mississippi,3
Elijah Moore,WR,"BUF, DEN",3/27/2000,70,180,Mississippi,5
Mecole Hardman,WR,"BUF, GB",3/12/1998,70,187,Georgia,7
Ja'Marcus Ingram,DB,"BUF, HOU",9/2/1997,74,190,Buffalo; Texas Tech,2
Marcus Harris,DL,"BUF, HOU, KC",9/27/2000,75,295,Auburn; Kansas,1
Maddux Trujillo,K,"BUF, IND",,,,,
Mike Badgley,K,"BUF, IND",7/28/1995,70,188,Miami,7
Darrick Forrest,DB,"BUF, IND, PIT, SF",5/22/1999,71,200,Cincinnati,5
Darnell Savage,DB,"BUF, JAX, WAS",7/30/1997,71,198,Maryland,7
Shane Buechele,QB,"BUF, KC",1/8/1998,72,210,SMU,4
Brad Robbins,P,"BUF, LV",10/6/1998,73,203,Michigan,2
Jimmy Ciarlo,LB,"BUF, MIA",2/28/2001,74,225,Army,2
Matthew Judon,LB,"BUF, MIA",8/15/1992,75,265,Grand Valley,10
Otis Reese,LB,"BUF, NE",7/2/1998,75,214,Mississippi,3
Brandin Cooks,WR,"BUF, NO",9/25/1993,70,190,Oregon State,12
Casey Rogers,DL,"BUF, NYG",12/18/1998,77,305,Oregon; Nebraska,1
Zach Davidson,TE,"BUF, NYG",7/15/1998,79,251,Central Missouri,2
Cameron Johnston,P,"BUF, NYG, PIT",2/24/1992,71,194,Ohio State,8
Kingsley Jonathan,DL,"BUF, NYJ",4/28/1998,76,260,Syracuse,3
Daequan Hardy,DB,"BUF, PIT",6/13/2001,69,178,Penn State,1
Darius Slay,DB,"BUF, PIT",1/1/1991,72,192,Mississippi State; Itawamba JC,13
Daryl Porter,DB,"BUF, PIT",2/3/2002,70,185,Miami; West Virginia,0
Matt Sokol,TE,"BUF, PIT",11/9/1995,77,258,Michigan State,1
Dan Feeney,OL,"BUF, TB",5/29/1994,76,310,Indiana,9
Kristian Wilkerson,WR,"BUF, TEN",1/10/1997,73,214,Southeast Missouri State,3
Mitch Wishnowsky,P,"BUF, WAS",3/2/1992,74,220,Utah; Santa Barbara,7
Akayleb Evans,DB,CAR,6/22/1999,74,198,Missouri,4
Chau Smith-Wade,DB,CAR,9/17/2002,71,176,Washington State,2
Corey Thornton,DB,CAR,1/30/2001,73,195,Louisville,0
Damarri Mathis,DB,CAR,4/12/1999,71,195,Pittsburgh,4
Demani Richardson,DB,CAR,10/7/2000,73,215,Texas A&M,2
Isaac Gifford,DB,CAR,,,,,
JaTravis Broughton,DB,CAR,,,,,
Jaycee Horn,DB,CAR,11/26/1999,73,200,South Carolina,5
Keion Crossen,DB,CAR,4/17/1996,70,190,Western Carolina,7
Lathan Ransom,DB,CAR,7/16/2002,72,206,Ohio State,0
Mello Dotson,DB,CAR,,,,,
Mike Jackson,DB,CAR,1/10/1997,73,210,Miami,5
Nick Scott,DB,CAR,5/17/1995,71,200,Penn State,7
Tre Swilling,DB,CAR,3/26/1999,73,196,Georgia Tech,1
Tre'von Moehrig,DB,CAR,6/16/1999,74,202,TCU,5
A'Shawn Robinson,DL,CAR,3/21/1995,75,320,Alabama,10
Bobby Brown III,DL,CAR,8/7/2000,76,332,Texas A&M,5
Cam Jackson,DL,CAR,8/7/2002,78,328,Florida; Memphis,0
Derrick Brown,DL,CAR,4/15/1998,77,320,Auburn,6
Jaden Crumedy,DL,CAR,7/30/2000,76,309,Mississippi State,2
Jared Harrison-Hunte,DL,CAR,7/22/2000,76,294,SMU; Miami,0
LaBryan Ray,DL,CAR,12/5/1997,76,290,Alabama,3
Mapalo Mwansa,DL,CAR,4/2/2004,74,230,,0
Popo Aumavae,DL,CAR,1/15/1999,75,315,Oregon,2
Tershawn Wharton,DL,CAR,6/25/1998,73,280,Missouri-Rolla,6
Ryan Fitzgerald,K,CAR,8/13/2000,71,193,Florida State,0
Bam Martin-Scott,LB,CAR,7/4/2000,74,231,South Carolina; Dodge City CC,0
Christian Rozeboom,LB,CAR,1/30/1997,74,230,South Dakota State,5
Claudin Cherelus,LB,CAR,2/9/1999,74,230,Alcorn State; UMass Amherst,3
D.J. Wonnum,LB,CAR,10/31/1997,77,258,South Carolina,6
J.J. Weaver,LB,CAR,,,,,
Krys Barnes,LB,CAR,4/2/1998,74,229,UCLA,6
Nic Scourton,LB,CAR,8/25/2004,74,257,Texas A&M; Purdue,0
Patrick Jones II,LB,CAR,9/29/1998,76,264,Pittsburgh,5
Princely Umanmielen,LB,CAR,4/18/2002,76,244,Mississippi; Florida,0
Thomas Incoom,LB,CAR,2/1/1999,74,265,Central Michigan; Valdosta State,3
Trevin Wallace,LB,CAR,2/22/2003,73,244,Kentucky,2
J.J. Jansen,LS,CAR,1/20/1986,74,235,Notre Dame,18
Austin Corbett,OL,CAR,9/5/1995,76,306,Nevada,8
Brady Christensen,OL,CAR,9/27/1996,78,300,BYU,5
Brandon Walton,OL,CAR,3/18/1998,77,300,Florida Atlantic,3
Cade Mays,OL,CAR,4/26/1999,78,325,Tennessee,4
Chandler Zavala,OL,CAR,4/2/1999,75,322,N.C. State; Fairmont State,3
Damien Lewis,OL,CAR,3/21/1997,74,327,LSU; Northwest Mississippi CC,6
Ikem Ekwonu,OL,CAR,10/31/2000,76,320,N.C. State,4
Ja'Tyre Carter,OL,CAR,1/15/1999,75,311,Southern,3
Luke Kandra,OL,CAR,,,,,
Michael Tarquin,OL,CAR,6/14/2001,78,313,Oklahoma; USC; Florida,0
Robert Hunt,OL,CAR,8/25/1996,78,323,Louisiana-Lafayette,6
Steven Losoya,OL,CAR,,,,,
Taylor Moton,OL,CAR,8/14/1994,77,325,Western Michigan,9
Yosh Nijman,OL,CAR,1/2/1996,79,314,Virginia Tech,6
Sam Martin,P,CAR,2/27/1990,73,205,Appalachian State,13
Andy Dalton,QB,CAR,10/29/1987,74,220,TCU,15
Bryce Perkins,QB,CAR,12/20/1996,75,215,Virginia,2
Bryce Young,QB,CAR,7/25/2001,70,204,Alabama,3
Jack Plummer,QB,CAR,10/21/1999,77,215,Louisville; California; Purdue,0
Chuba Hubbard,RB,CAR,6/11/1999,73,210,Oklahoma State,5
Emani Bailey,RB,CAR,11/28/2001,67,202,TCU; Louisiana,0
Jonathon Brooks,RB,CAR,7/21/2003,72,207,Texas,2
Kayron Lynch-Adams,RB,CAR,,,,,
Rico Dowdle,RB,CAR,6/14/1998,72,215,South Carolina,6
Trevor Etienne,RB,CAR,7/9/2004,68,198,Georgia; Florida,0
Bryce Pierre,TE,CAR,1/25/2001,77,255,UCLA; Arizona State,0
Dominique Dafney,TE,CAR,6/3/1997,74,243,Indiana State,2
Ja'Tavion Sanders,TE,CAR,3/27/2003,76,252,Texas,2
James Mitchell,TE,CAR,8/11/1999,76,249,Virginia Tech,3
Mitchell Evans,TE,CAR,3/18/2003,77,258,Notre Dame,0
Tommy Tremble,TE,CAR,6/2/2000,76,250,Notre Dame,5
Tyler Mabry,TE,CAR,11/21/1996,75,260,Maryland,2
Ainias Smith,WR,CAR,5/31/2001,69,176,Texas A&M,2
Brycen Tremayne,WR,CAR,11/18/1999,76,212,Stanford,1
Dan Chisena,WR,CAR,2/25/1997,75,202,Penn State,5
David Moore,WR,CAR,1/15/1995,72,219,East Central,7
Hunter Renfrow,WR,CAR,12/21/1995,70,185,Clemson,6
Ja'Seem Reed,WR,CAR,3/21/2003,74,195,San Diego,0
Jacolby George,WR,CAR,,,,,
Jalen Coker,WR,CAR,10/30/2001,75,213,Holy Cross,2
Jimmy Horn Jr.,WR,CAR,9/12/2002,68,174,Colorado; University of South Florida,0
Kobe Hudson,WR,CAR,,,,,
T.J. Luther,WR,CAR,5/13/2000,71,195,Gardner-Webb; Wofford,1
Tetairoa McMillan,WR,CAR,4/5/2003,77,212,Arizona,0
Xavier Legette,WR,CAR,1/29/2001,75,227,South Carolina,2
Maema Njongmeta,LB,"CAR, CIN",3/9/2001,72,232,Wisconsin,2
Darrian Dalcourt,OL,"CAR, CLE, WAS",9/17/2000,75,320,Alabama,1
Israel Mukuamu,DB,"CAR, DAL",11/28/1999,76,215,South Carolina,5
Robert Rochell,DB,"CAR, DAL",4/26/1998,72,193,Central Arkansas,5
Saahdiq Charles,OL,"CAR, DAL",7/26/1999,76,321,LSU,5
Ross Dwelley,TE,"CAR, DET",1/26/1995,77,235,San Diego,8
Isaiah Simmons,LB,"CAR, GB",7/26/1998,76,238,Clemson,6
Shemar Bartholomew,DB,"CAR, GB, MIN",6/6/2000,73,200,Georgia Southern; Northwestern State (LA),2
Jarrett Kingston,OL,"CAR, HOU",12/2/1999,76,308,USC; Washington State,2
David Long,DB,"CAR, IND",2/6/1998,71,196,Michigan,7
Trevian Thomas,DB,"CAR, JAX",3/4/2002,71,196,Arkansas State,0
DeeJay Dallas,RB,"CAR, JAX",9/16/1998,70,214,Miami,6
Jamil Muhammad,LB,"CAR, LA",2/1/2001,73,260,USC; Georgia State; Vanderbilt,0
Dalevon Campbell,WR,"CAR, LAC",12/5/2001,76,220,South Carolina,0
Carlos Basham,LB,"CAR, LV",12/16/1997,75,274,Wake Forest,5
Hendon Hooker,QB,"CAR, NYJ",1/13/1998,75,221,Tennessee; Virginia Tech,3
Raheem Blackshear,RB,"CAR, NYJ, PIT, TEN",6/5/1998,69,190,Virginia Tech,4
Jacoby Windmon,LB,"CAR, PIT",8/20/2001,74,250,Michigan State; UNLV,2
Jeremiah Moon,LB,"CAR, PIT",8/18/1998,77,245,Florida,3
Aiden Williams,OL,"CAR, PIT",8/31/2000,78,305,Duluth/University of Minnesota,0
D'Anthony Bell,DB,"CAR, SEA",10/17/1996,73,211,University of West Florida,4
Michael Reid,DB,"CAR, SEA",5/24/2002,74,200,South Dakota; Monmouth,0
Anthony Tyus III,RB,"CAR, SEA",3/20/2003,73,226,Ohio,0
Trevis Gipson,DL,"CAR, SF",6/13/1997,76,263,Tulsa,6
DJ Johnson,LB,"CAR, WAS",10/29/1998,76,260,Oregon; Miami,3
Alex Cook,DB,CHI,5/21/1999,73,196,Washington,2
Dominique Hampton,DB,CHI,7/25/2000,75,220,Washington,2
Dontae Manning,DB,CHI,9/17/2001,70,190,Oregon,0
Elijah Hicks,DB,CHI,10/16/1999,71,204,California,4
Gervarrius Owens,DB,CHI,10/14/1999,72,200,Houston; Northeast Oklahoma,2
Jaquan Brisker,DB,CHI,4/20/1999,73,204,Penn State; Lackawanna JC,4
Jaylon Johnson,DB,CHI,4/19/1999,72,195,Utah,6
Jaylon Jones,DB,CHI,10/14/1997,71,190,Mississippi,4
Jeremiah Walker,DB,CHI,,,,,
Jonathan Owens,DB,CHI,7/22/1995,71,204,Missouri Western,7
Josh Blackwell,DB,CHI,4/5/1999,71,180,Duke,4
Kaleb Hayes,DB,CHI,3/19/1999,72,195,BYU; Oregon State,0
Kevin Byard,DB,CHI,8/17/1993,71,218,Middle Tennessee State,10
Kyler Gordon,DB,CHI,12/17/1999,71,200,Washington,4
Mekhi Garner,DB,CHI,1/11/2000,74,212,LSU; Navarro,1
Millard Bradford,DB,CHI,9/24/1999,70,191,TCU,0
Nahshon Wright,DB,CHI,9/23/1998,76,199,Oregon State,5
Nick McCloud,DB,CHI,7/9/1998,73,190,Notre Dame,5
Shaun Wade,DB,CHI,9/16/1998,73,195,Ohio State,4
Terell Smith,DB,CHI,7/27/1999,72,204,Minnesota,3
Tyrique Stevenson,DB,CHI,5/26/2000,72,212,Miami; Georgia,3
Zah Frazier,DB,CHI,10/5/2000,75,185,Texas-San Antonio; Coffeyville CC,0
Andrew Billings,DL,CHI,6/3/1995,73,340,Baylor,9
Austin Booker,DL,CHI,12/14/2002,78,245,Kansas; Minnesota,2
Chris Williams,DL,CHI,6/16/1998,74,298,Wagner,4
Daniel Hardy,DL,CHI,12/15/1998,74,255,Montana State,3
Dayo Odeyingbo,DL,CHI,9/24/1999,77,282,Vanderbilt,5
Dominique Robinson,DL,CHI,7/2/1998,77,275,Miami (Ohio),4
Gervon Dexter Sr.,DL,CHI,10/5/2000,78,326,Florida,3
Grady Jarrett,DL,CHI,4/28/1993,73,294,Clemson,11
Jamree Kromah,DL,CHI,6/14/2000,75,268,James Madison; Rutgers,1
Montez Sweat,DL,CHI,9/4/1996,78,270,Mississippi State; Copiah-Lincoln Junior College; Michigan State,7
Shemar Turner,DL,CHI,1/14/2003,75,293,Texas A&M,0
Cairo Santos,K,CHI,11/12/1991,68,173,Tulane,12
Amen Ogbongbemiga,LB,CHI,9/4/1998,73,226,Oklahoma State,5
D'Marco Jackson,LB,CHI,7/20/1998,73,233,Appalachian State,4
Jalen Reeves-Maybin,LB,CHI,1/31/1995,73,226,Tennessee,9
Noah Sewell,LB,CHI,4/26/2002,73,246,Oregon,3
Ruben Hyppolite II,LB,CHI,9/16/2001,72,236,Maryland,0
T.J. Edwards,LB,CHI,8/12/1996,72,228,Wisconsin,7
Tremaine Edmunds,LB,CHI,5/2/1998,76,251,Virginia Tech,8
Xavier Carlton,LB,CHI,8/22/2001,78,273,California; Utah,0
Scott Daly,LS,CHI,2/7/1994,73,245,Notre Dame,5
Braxton Jones,OL,CHI,3/27/1999,77,303,Southern Utah State,4
Chris Glaser,OL,CHI,10/1/1999,76,306,Virginia,2
Darnell Wright,OL,CHI,8/10/2001,77,325,Tennessee,3
Drew Dalman,OL,CHI,10/15/1998,75,300,Stanford,5
Joe Thuney,OL,CHI,11/18/1992,77,301,N.C. State,10
Jonah Jackson,OL,CHI,2/5/1997,75,319,Ohio State; Rutgers,6
Jordan McFadden,OL,CHI,11/16/1999,74,306,Clemson,3
Kiran Amegadjie,OL,CHI,2/1/2002,77,326,Yale,2
Luke Newman,OL,CHI,3/3/2002,76,308,Michigan State; Holy Cross,0
Ozzy Trapilo,OL,CHI,10/17/2001,80,312,Boston College,0
Ricky Stromberg,OL,CHI,11/10/2000,76,313,Arkansas,2
Ryan Bates,OL,CHI,2/14/1997,76,306,Penn State,7
Theo Benedet,OL,CHI,12/10/2001,79,305,University of British Columbia,1
Tory Taylor,P,CHI,7/10/1997,76,223,Iowa,2
Austin Reed,QB,CHI,2/22/2000,73,220,Western Kentucky; University of West Florida; Southern Illinois,0
Caleb Williams,QB,CHI,11/18/2001,73,226,USC; Oklahoma,2
Case Keenum,QB,CHI,2/17/1988,73,220,Houston,13
Tyson Bagent,QB,CHI,6/8/2000,75,213,Shepherd,3
Brittain Brown,RB,CHI,10/10/1997,73,205,UCLA,3
D'Andre Swift,RB,CHI,1/14/1999,68,204,Georgia,6
Deion Hankins,RB,CHI,9/13/2000,71,226,Texas State-San Marcos,0
Kyle Monangai,RB,CHI,6/6/2002,68,207,Rutgers,0
Roschon Johnson,RB,CHI,1/31/2001,72,227,Texas,3
Travis Homer,RB,CHI,8/7/1998,70,211,Miami,7
Cole Kmet,TE,CHI,3/10/1999,78,257,Notre Dame,6
Colston Loveland,TE,CHI,4/9/2004,78,241,Michigan,0
Durham Smythe,TE,CHI,8/9/1995,76,248,Notre Dame,8
Nikola Kalinic,TE,CHI,1/21/1997,76,248,York (Canada),2
Stephen Carlson,TE,CHI,12/12/1996,76,248,Princeton,4
Thomas Gordon,TE,CHI,,77,255,Northwestern,1
DJ Moore,WR,CHI,4/14/1997,72,213,Maryland,8
Devin Duvernay,WR,CHI,9/12/1997,71,202,Texas,6
JP Richardson,WR,CHI,3/23/2002,71,192,TCU; Oklahoma State,0
Jahdae Walker,WR,CHI,7/5/2002,75,206,Texas A&M; Grand Valley,0
Luther Burden III,WR,CHI,12/12/2003,72,210,Missouri,0
Maurice Alexander,WR,CHI,1/10/1997,70,171,Florida International,1
Miles Boykin,WR,CHI,10/12/1996,75,231,Notre Dame,6
Olamide Zaccheaus,WR,CHI,7/23/1997,68,199,Virginia,7
Rome Odunze,WR,CHI,6/3/2002,75,215,Washington,2
Joe Tryon-Shoyinka,DL,"CHI, CLE",4/30/1999,77,259,Washington,5
Joshua Miles,OL,"CHI, CLE, LV",1/4/1996,77,325,Morgan State,5
Samori Toure,WR,"CHI, DEN, NO",3/24/1998,73,196,Nebraska,3
Ty Summers,LB,"CHI, DET",12/31/1995,73,241,TCU,7
Tre Flowers,DB,"CHI, DET, PIT",6/2/1995,75,203,Oklahoma State,8
Mark Perry,DB,"CHI, GB",5/30/2001,72,215,TCU,1
Jonathan Ford,DL,"CHI, GB",9/29/1998,77,346,Miami,3
Trey Hill,OL,"CHI, GB",1/23/2000,76,335,Georgia,4
Power Echols,LB,"CHI, HOU",1/20/2003,72,225,North Carolina,0
Tanoh Kpassagnon,DL,"CHI, IND",6/14/1994,79,289,Villanova,8
Bill Murray,OL,"CHI, IND, NE",7/3/1997,75,321,William & Mary,2
Qadir Ismail,TE,"CHI, JAX, NYG",2/17/2000,78,232,Samford; Villanova,1
Royce Freeman,RB,"CHI, LAC",2/24/1996,72,238,Oregon,6
Luke Elkin,LS,"CHI, LV",6/27/2002,73,200,Iowa,0
Jeremiah Martin,DL,"CHI, NO",6/10/2000,76,265,Washington; Texas A&M,1
Nephi Sewell,LB,"CHI, NO",12/19/1998,72,228,Utah,3
Kyle Hergel,OL,"CHI, NO",10/7/1999,74,315,Boston College; Texas State-San Marcos,2
Ian Wheeler,RB,"CHI, NO",9/15/2001,71,205,Howard,2
Doug Kramer,OL,"CHI, SEA",6/4/1998,74,300,Illinois,4
Dallis Flowers,DB,"CHI, SF",6/4/1997,73,196,Pittsburg State (KS),4
Jonathan Garvin,LB,"CHI, SF",7/28/1999,76,257,Miami,4
Jake Moody,K,"CHI, SF, WAS",11/23/1999,73,210,Michigan,3
Joel Wilson,TE,"CHI, TEN",6/21/2000,76,245,Central Michigan,1
Bralyn Lux,DB,CIN,8/28/2000,70,180,Texas Tech,0
Cam Taylor-Britt,DB,CIN,10/15/1999,71,200,Nebraska,4
D.J. Ivey,DB,CIN,2/25/2000,73,192,Miami,3
DJ Turner II,DB,CIN,11/9/2000,71,185,Michigan,3
Daijahn Anthony,DB,CIN,9/9/2000,72,200,Mississippi; Liberty,2
Daxton Hill,DB,CIN,9/29/2000,72,195,Michigan,4
Geno Stone,DB,CIN,4/19/1999,71,209,Iowa,6
Jalen Davis,DB,CIN,2/2/1996,70,186,Utah State,5
Jaylen Key,DB,CIN,2/29/2000,74,210,Alabama; UAB,0
Jordan Battle,DB,CIN,12/14/2000,73,215,Alabama,3
Josh Newton,DB,CIN,9/14/2000,71,190,TCU; Louisiana-Monroe,2
Lance Robinson,DB,CIN,3/20/2000,70,185,Tulane; Kansas State,0
Marco Wilson,DB,CIN,3/3/1999,71,191,Florida,5
Nate Brooks,DB,CIN,9/5/1996,72,192,North Texas,1
PJ Jules,DB,CIN,5/14/2001,72,203,Southern Illinois,1
Russ Yeast,DB,CIN,5/8/1999,70,195,Kansas State,3
Shaquan Loyal,DB,CIN,,,,,
Tycen Anderson,DB,CIN,6/13/1999,74,205,Toledo,4
B.J. Hill,DL,CIN,4/20/1995,75,311,N.C. State,8
Cameron Sample,DL,CIN,9/20/1999,75,272,Tulane,5
Cedric Johnson,DL,CIN,9/6/2002,75,264,Mississippi,2
Howard Cross III,DL,CIN,7/31/2001,73,285,Notre Dame,0
Joseph Ossai,DL,CIN,4/13/2000,76,263,Texas,5
Kris Jenkins,DL,CIN,10/10/2001,75,310,Michigan,2
McKinnley Jackson,DL,CIN,12/26/2001,74,330,Texas A&M,2
McTelvin Agim,DL,CIN,9/25/1997,75,300,Arkansas,3
Myles Murphy,DL,CIN,1/3/2002,77,275,Clemson,3
Raymond Johnson III,DL,CIN,12/2/1997,75,264,Georgia Southern,2
Shemar Stewart,DL,CIN,11/12/2003,77,267,Texas A&M,0
Tedarrell Slaton,DL,CIN,10/3/1997,77,340,Florida,5
Trey Hendrickson,DL,CIN,12/5/1994,76,265,Florida Atlantic,9
Evan McPherson,K,CIN,7/21/1999,71,185,Florida,5
Barrett Carter,LB,CIN,10/23/2002,72,230,Clemson,0
Craig Young,LB,CIN,3/13/2001,75,225,Kansas; Ohio State,0
Demetrius Knight Jr.,LB,CIN,7/21/2000,74,240,South Carolina; Charlotte,0
Isaiah Thomas,LB,CIN,12/3/1998,77,272,Oklahoma,3
Joe Giles-Harris,LB,CIN,4/1/1997,74,234,Duke,2
Liam Anderson,LB,CIN,4/30/2000,75,226,Holy Cross,1
Oren Burks,LB,CIN,3/21/1995,75,233,Vanderbilt,8
Shaka Heyward,LB,CIN,4/19/2000,75,238,Duke,2
William Wagner,LS,CIN,12/20/2000,74,240,Michigan,0
Amarius Mims,OL,CIN,10/14/2002,80,350,Georgia,2
Andrew Coker,OL,CIN,3/23/2001,79,315,TCU,1
Andrew Raym,OL,CIN,5/2/2001,76,327,Oklahoma,0
Cody Ford,OL,CIN,12/28/1996,75,345,Oklahoma,7
Cordell Volson,OL,CIN,7/20/1998,78,315,North Dakota State,4
Dalton Risner,OL,CIN,7/13/1995,77,312,Kansas State,7
Dylan Fairchild,OL,CIN,5/8/2003,77,318,Georgia,0
Jalen Rivers,OL,CIN,9/12/2002,77,319,Miami,0
Javon Foster,OL,CIN,3/31/2000,77,313,Missouri,2
Jaxson Kirkland,OL,CIN,7/30/1998,79,325,Washington,2
Lucas Patrick,OL,CIN,7/30/1993,75,313,Duke,9
Matt Lee,OL,CIN,6/6/2001,76,310,Miami; UCF,2
Orlando Brown,OL,CIN,5/2/1996,80,350,Oklahoma,8
Seth McLaughlin,OL,CIN,8/27/2001,76,305,Ohio State; Alabama,0
Ted Karras,OL,CIN,3/15/1993,76,310,Illinois,10
Ryan Rehkow,P,CIN,9/11/1998,77,235,BYU,2
Jake Browning,QB,CIN,4/11/1996,74,210,Washington,3
Joe Burrow,QB,CIN,12/10/1996,76,215,LSU; Ohio State,6
Payton Thorne,QB,CIN,,,,,
Chase Brown,RB,CIN,3/21/2000,70,211,Illinois; Western Michigan,3
Gary Brightwell,RB,CIN,2/28/1998,73,218,Arizona,4
Kendall Milton,RB,CIN,2/10/2002,73,230,Georgia,1
Quali Conley,RB,CIN,,,,,
Samaje Perine,RB,CIN,9/16/1995,70,240,Oklahoma,9
Tahj Brooks,RB,CIN,5/13/2002,69,220,Texas Tech,0
Cam Grandy,TE,CIN,11/19/1999,77,253,Illinois State; Missouri Western,2
Drew Sample,TE,CIN,4/16/1996,77,260,Washington,7
Erick All,TE,CIN,9/13/2000,77,255,Iowa; Michigan,2
Mike Gesicki,TE,CIN,10/3/1995,78,245,Penn State,8
Noah Fant,TE,CIN,11/20/1997,76,249,Iowa,7
Tanner Hudson,TE,CIN,11/12/1994,77,241,Southern Arkansas; Memphis,6
Andrei Iosivas,WR,CIN,10/15/1999,75,210,Princeton,3
Charlie Jones,WR,CIN,10/29/1998,72,190,Purdue; Iowa,3
Cole Burgess,WR,CIN,2/11/2000,73,192,Cortland State Of New York,0
Ja'Marr Chase,WR,CIN,3/1/2000,72,205,LSU,5
Jamoi Mayes,WR,CIN,,,,,
Jermaine Burton,WR,CIN,6/28/2001,72,204,Alabama; Georgia,2
Jordan Moore,WR,CIN,4/18/2002,72,191,Duke,0
Kendric Pryor,WR,CIN,1/6/1998,71,189,Wisconsin,2
Mitchell Tinsley,WR,CIN,9/15/1999,73,205,Penn State; Western Kentucky,2
Rashod Owens,WR,CIN,,,,,
Tee Higgins,WR,CIN,1/18/1999,76,219,Clemson,6
Joe Flacco,QB,"CIN, CLE",1/16/1985,78,245,Delaware; Pittsburgh,18
Logan Wilson,LB,"CIN, DAL",7/8/1996,74,245,Wyoming,6
Devin Cochran,OL,"CIN, DET",7/17/1998,79,330,Georgia Tech,3
Sean Clifford,QB,"CIN, GB",7/14/1998,74,217,Penn State,2
Desmond Ridder,QB,"CIN, GB, MIN",8/31/1999,75,207,Cincinnati,4
Xavier Johnson,WR,"CIN, HOU",5/11/1999,73,210,Ohio State,1
Brett Rypien,QB,"CIN, IND, MIN",7/9/1996,74,210,Boise State,7
